region_name,region_code,video_id,title,view_count,like_count,channel_name,date_uploaded,owner,duration
USA,US,_86kQPXhWjQ,"Francis Ngannou Post-Fight Interview | Talks Tyson Fury, score cards, knock down and more",1242074,44383,Francis Ngannou,2023-10-29T15:17:15Z,UChZJvI9kR_TlUTQSObAn8fg,PT20M15S
USA,US,1eqUn9nG1SY,Tony Hawk Embraces the Pain While Eating Spicy Wings | Hot Ones,1229096,46085,First We Feast,2023-10-30T17:00:01Z,UCPD_bxCRGpmmeQcbe2kpPaA,PT20M40S
USA,US,lpCusbU66cM,Cincinnati Bengals vs. San Francisco 49ers | 2023 Week 8 Game Highlights,1501009,16825,NFL,2023-10-30T00:02:33Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,PT14M16S
USA,US,pkCtRFWIkrc,Repaint! Heathcliff the Vampire 🦇 Halloween Doll 2023,323056,46418,Dollightful,2023-10-29T14:00:27Z,UCitKV0ebZVbtU2nIPihDGMQ,PT17M57S
USA,US,6acSH-EXoU0,SMG4: War of the Fat Italians 2023,2569928,114331,SMG4,2023-10-28T16:00:08Z,UC8LcA3grYZg0GNpxlXh8owg,PT38M21S
USA,US,R8pZqvdhj_A,Los Angeles Rams vs. Dallas Cowboys Game Highlights | NFL 2023 Week 8,1679855,20434,NFL,2023-10-29T20:41:11Z,UCDVYQ4Zhbm3S2dlz7P1GBDg,PT13M46S
USA,US,bKbzau-j4a0,THINGS YOU MISSED IN THE FNAF MOVIE (SPOILERS),1175759,69246,Dawko,2023-10-28T17:59:51Z,UCDfYcuNw-ff952Xn0VDWwDw,PT12M32S
USA,US,LT7lrn3nIjo,"Rebuilding A Flooded $2,000,000 McLaren P1 | Part 12",1501706,103067,Tavarish,2023-10-29T16:00:14Z,UCvAhDxNNUDhi78tMXVGBUaQ,PT38M4S
USA,US,z4mSLg5gE_Q,30 Hidden Details In Spider-Man 2,589126,12317,T5G,2023-10-29T21:05:51Z,UCYBetkejPxK8t_41zueazcA,PT8M38S
USA,US,53vl8Wi1sdc,Trading Anything in Among Us,1911143,60732,SSundee,2023-10-29T18:00:01Z,UCke6I9N4KfC968-yRcd5YRg,PT17M58S
USA,US,wBaQ46tu8j4,Haunted Duplex - The Untold Stories,694976,49224,brewstewfilms,2023-10-28T21:50:52Z,UCepPGz8AVCbggMl3BvboaBA,PT8M40S
USA,US,J7ryXLHiEkM,First Class On World's Longest 747 Flight,429578,13007,Trek Trendy,2023-10-29T19:56:56Z,UC50xPFPma-nCS5GZpAFukpQ,PT14M14S
USA,US,JJXcVEnMskI,Will this Old Grain Truck RUN & DRIVE in Time for HARVEST!?,431136,25109,Junkyard Digs,2023-10-28T21:56:45Z,UCS87-wYrvmexsLkBj0jhrnQ,PT56M13S
USA,US,aAWxoSeqU5k,‘Friends’ star Matthew Perry dead at 54,1510817,14476,KTLA 5,2023-10-29T01:20:49Z,UCinjnmQEwCddOudyCC1v7qA,PT7M3S
USA,US,ohRwr2Cnj7E,정국 (Jung Kook) 'GOLDEN' Preview,5290249,1033172,HYBE LABELS,2023-10-30T15:00:01Z,UC3IZKseVpdzPSBaWxBxundA,PT3M23S
USA,US,0z-j_5KYDqg,Ten Years of Technoblade: Alex's first ever video,1307942,208595,Technoblade,2023-10-29T01:14:34Z,UCFAiFyGs6oDiF1Nf-rRJpZA,PT6M27S
USA,US,gVCGuhyUdgs,Kim Loaiza - MAL HOMBRE (Video Oficial),14142317,848311,Kim Loaiza,2023-10-27T23:41:05Z,UCgmUtgxaeaT6CSHc70AQMEg,PT2M41S
USA,US,8DYZJiALvt4,Francis Ngannou: I know I beat Tyson Fury but winning a decision in boxing is tough | ESPN Ringside,2150320,37007,ESPN MMA,2023-10-29T01:11:49Z,UCO4AcsPKEkIqDmbeiZLfd1A,PT10M
USA,US,kyGqw4HGRv4,I Survived 100 Days as FREDDY FAZBEAR in Minecraft,1681787,26406,Ryguyrocky,2023-10-28T12:30:25Z,UCHRTfR2r0Ss3UjFyw7gSA-A,PT48M56S
USA,US,NlXa6x5jEKg,5 AM at Freddy's: Superstar Edition,1276366,159646,Piemations,2023-10-28T15:39:48Z,UC8RBLJdSpxSVWDc_bGKmdQQ,PT3M57S
USA,US,at849h3xCQA,HIGHLIGHTS! Manchester United 0-3 Manchester City | Haaland (2) and Foden Goals!,3417317,55554,Man City,2023-10-29T22:00:01Z,UCkzCjdRMrW2vXLx8mvPVLdQ,PT2M31S
USA,US,laslfUo5WEE,Speeds Live Reaction To Messi Winning Ballon D'or,2360298,104814,Live Speedy,2023-10-30T21:42:38Z,UC2bW_AY9BlbYLGJSXAbjS4Q,PT3M7S
USA,US,VdmEnZoXEoo,Brest vs PSG | LIGUE 1 HIGHLIGHTS | 10/29/2023 | beIN SPORTS USA,149643,1390,beIN SPORTS USA,2023-10-29T15:03:27Z,UC0YatYmg5JRYzXJPxIdRd8g,PT11M58S
USA,US,7dJsVHS9zZY,Biden Halloween Cold Open - SNL,1869153,24432,Saturday Night Live,2023-10-29T04:12:38Z,UCqFzWxSCi39LnW1JKFR3efg,PT7M19S
USA,US,gSR04jqhaK4,I Built an Electric MonoWheel,927720,13855,Jake Carlini,2023-10-28T14:55:00Z,UCrGDhgrJH1G9CVHY1krv5lQ,PT12M33S
USA,US,OAJOjvoF_SM,Simulating an Ocean for 100 Days,1537213,84789,Dr. Plants,2023-10-28T12:00:17Z,UCYmna5rFHIesFteksAvFOfg,PT14M41S
USA,US,TuyisGsNr4g,"Dax - ""To Be A Man"" Remix (Feat. Darius Rucker) [Official Video]",1548227,103210,Dax,2023-10-27T15:59:38Z,UCvvVOIyaYu2l4jiH9L8_eRw,PT3M40S
USA,US,E7WytLM2KvY,TVアニメ「進撃の巨人」最終PV｜The Final Season完結編（後編）PV第3弾,5433856,273766,ぽにきゃん-Anime PONY CANYON,2023-10-28T03:00:09Z,UCb-ekPowbBlQhyt7ZXPiu5Q,PT1M30S
USA,US,jghKi84Wzlc,Resumen y Goles | Chivas vs Tigres | Liga BBVA MX | Apertura 2023 - Jornada 14,147436,1072,LIGA BBVA MX,2023-10-29T03:30:12Z,UCq8BPLXtFeiSFOvmJrknWGg,PT8M37S
USA,US,CgZNChi-ixA,BISPING reacts: Francis Ngannou SHOULD HAVE WON vs Tyson Fury | Tyson Fury vs. Francis Ngannou,642884,18901,Michael Bisping,2023-10-29T01:06:38Z,UCDrG2_1TcVkXKXXsD6Kjwig,PT9M5S
USA,US,-KrJEzDZdxI,"After 13 Years, the True Story of Herobrine was Just DISCOVERED...",532218,38592,TheMisterEpic,2023-10-29T02:29:27Z,UCJiFgnnYpwlnadzTzhMnX_Q,PT19M38S
USA,US,yIzZlDA1jfU,iShowSpeed Meets Haaland!,2023718,83557,Live Speedy,2023-10-30T19:08:37Z,UC2bW_AY9BlbYLGJSXAbjS4Q,PT2M28S
USA,US,mzGjlCHe4VY,"""Ngannou Won! Usyk Fight Is Dead. Joshua KO's Fury In 6"" - Eddie Hearn",680104,8439,Matchroom Boxing,2023-10-29T00:28:28Z,UC7LReVje9aPB4B6XAsXX8WQ,PT4M29S
USA,US,EgM_sOSPeoM,YTB Fatt- Let's See (Official Video),619964,15633,YTB Fatt ,2023-10-27T20:00:09Z,UCqfqdCqPHxgtdJ0m32obDiw,PT2M22S
USA,US,5UXL6oPP8sA,Real Hoverboard Using Ground Effect! - Floats On Anything!!,1215998,53943,JLaservideo,2023-10-28T18:02:41Z,UC89AgkG34oooZubVt23wzFw,PT20M15S
USA,US,FRc7C6WfKQM,The Vikings of TikTok,2156211,133299,Kurtis Conner,2023-10-27T19:00:05Z,UC7zsxKqd5MicTf4VhS9Y74g,PT24M55S
USA,US,i1PjjYkDumU,Minecraft But Any Scary Build Hack I Get,1230332,15712,PrestonPlayz,2023-10-28T14:15:03Z,UCJZam2u1G0syq3kyqrCXrNw,PT15M12S
USA,US,3ryID_SwU5E,"$1 vs $100,000,000 House!",124544520,4398209,MrBeast,2023-10-14T16:00:00Z,UCX6OQ3DkcsbYNE6H8uQQuVA,PT17M36S
USA,US,HMKDw6XtRvc,Secret Life: Episode 2 - MORE DOORS FOR ME!,1889595,102133,Grian,2023-10-27T18:00:12Z,UCR9Gcq0CMm6YgTzsDxAxjOQ,PT40M24S
USA,US,2R4fnW4y_MM,Clave Especial - Rapido Soy ( Official Video ),880350,35799,STREET MOB,2023-10-27T21:02:04Z,UCITbnypOpenJl0alXg04HJw,PT2M1S
USA,US,BY8p91lj3IU,Pokémon But They All Have NEW Types,338526,14708,PM7,2023-10-28T14:23:23Z,UCLc_ZQgQ8h2XKUAQpqcvIdw,PT36M8S
USA,US,MaJrXe6dOcI,Harry Kane scores from his own Half!,2803320,31297,Bundesliga,2023-10-28T15:37:59Z,UC6UL29enLNe4mqwTfAyeNuw,PT37S
USA,US,DS7uON_LWHc,Minecraft but I join PARKOUR SOCIETY,1448984,23562,Evbo,2023-10-27T22:39:20Z,UC1HL3TABt6QGd_P857BH_CA,PT11M8S
USA,US,3W_7TBWuU6o,What if LeBron and Steph Played Together?,493507,13415,Med,2023-10-28T13:35:21Z,UC9U1DWz9_zHQxYRWHFOuuNw,PT24M58S
